ID_Node,Origen,ID,Anho,Mes,Total,Total_Origen_Incoming,Total_Origin_Cumulative
46,Lourdes,200404,2004,4,0.0,0.0,0.0
47,Madrid - C.F.,200404,2004,4,0.0,0.0,0.0
48,Madrid - V.P.,200404,2004,4,0.0,0.0,0.0
49,Mérida,200404,2004,4,0.0,0.0,0.0
50,Mondoñedo,200404,2004,4,0.0,0.0,0.0
51,Monforte de Lemos,200404,2004,4,0.0,0.0,0.0
52,Montserrat,200404,2004,4,0.0,0.0,0.0
53,Muxia,200404,2004,4,0.0,0.0,0.0
54,Nájera,200404,2004,4,0.0,1175.0,1175.0
55,O Barco de Valdeorras,200404,2004,4,0.0,0.0,0.0
56,Ponferrada. C.Inv.,200404,2004,4,0.0,0.0,0.0
57,Ponte de Lima,200404,2004,4,0.0,0.0,0.0
58,Republica Checa,200404,2004,4,0.0,0.0,0.0
59,Resto,200404,2004,4,2833.0,0.0,2833.0
60,Resto Asturias - C.N,200404,2004,4,0.0,0.0,0.0
61,Resto C. León C.F.,200404,2004,4,0.0,0.0,0.0
62,Resto de Galicia,200404,2004,4,0.0,0.0,0.0
63,Resto de Portugal,200404,2004,4,0.0,0.0,0.0
64,Resto Galicia,200404,2004,4,0.0,0.0,0.0
65,Resto Portugal,200404,2004,4,0.0,0.0,0.0
66,Sahagún,200404,2004,4,0.0,1175.0,1175.0
67,Samos,200404,2004,4,0.0,0.0,0.0
68,San Sebastián,200404,2004,4,0.0,0.0,0.0
69,Santander,200404,2004,4,0.0,0.0,0.0
70,Somport,200404,2004,4,0.0,0.0,0.0
71,Vega de Valcarce,200404,2004,4,0.0,3582.0,3582.0
72,Verín,200404,2004,4,0.0,0.0,0.0
73,Vezelay,200404,2004,4,0.0,0.0,0.0
74,Viana do Castelo,200404,2004,4,0.0,0.0,0.0
75,Villafranca del Bierzo,200404,2004,4,536.0,3046.0,3582.0
0,Catedral Santiago de Compostela,200405,2004,5,0.0,16860.0,16860.0
1,Sarria,200405,2004,5,2829.0,8226.0,11055.0
2,Tui,200405,2004,5,1078.0,0.0,1078.0
3,S. Jean P. Port,200405,2004,5,1361.0,0.0,1361.0
4,Ferrol,200405,2004,5,0.0,0.0,0.0
5,Oporto,200405,2004,5,0.0,0.0,0.0
6,Cebreiro,200405,2004,5,2040.0,6186.0,8226.0
7,Ribadeo,200405,2004,5,0.0,0.0,0.0
8,Valença do Minho,200405,2004,5,0.0,0.0,0.0
9,Roncesvalles,200405,2004,5,1548.0,1361.0,2909.0
10,Oviedo - C.P.,200405,2004,5,0.0,0.0,0.0
11,Vigo,200405,2004,5,0.0,0.0,0.0
12,Ponte de sa,200405,2004,5,0.0,0.0,0.0
13,Oporto Costa,200405,2004,5,0.0,0.0,0.0
14,Ourense,200405,2004,5,0.0,0.0,0.0
15,Lisboa,200405,2004,5,0.0,0.0,0.0
16,León,200405,2004,5,1020.0,3784.0,4804.0
17,A Guarda,200405,2004,5,0.0,0.0,0.0
18,Corrubedo,200405,2004,5,0.0,0.0,0.0
19,Ponferrada,200405,2004,5,809.0,5377.0,6186.0
20,Le Puy,200405,2004,5,0.0,0.0,0.0
21,Lugo - C.P.,200405,2004,5,0.0,0.0,0.0
22,Baiona,200405,2004,5,0.0,0.0,0.0
23,Vilalba,200405,2004,5,0.0,0.0,0.0
24,Irún,200405,2004,5,0.0,0.0,0.0
25,Astorga,200405,2004,5,573.0,4804.0,5377.0
26,Porriño,200405,2004,5,0.0,1078.0,1078.0
27,Triacastela,200405,2004,5,0.0,8226.0,8226.0
28,Sevilla,200405,2004,5,0.0,0.0,0.0
29,Pamplona,200405,2004,5,460.0,2909.0,3369.0
30,Burgos,200405,2004,5,415.0,3369.0,3784.0
31,A Coruña,200405,2004,5,0.0,0.0,0.0
32,Alemania,200405,2004,5,0.0,0.0,0.0
33,Barcelona,200405,2004,5,0.0,0.0,0.0
34,Bélgica,200405,2004,5,0.0,0.0,0.0
35,Braga,200405,2004,5,0.0,0.0,0.0
36,Com. Valenciana - C.F.,200405,2004,5,0.0,0.0,0.0
37,Com. Valenciana - O.C.,200405,2004,5,0.0,0.0,0.0
38,Estella,200405,2004,5,0.0,3369.0,3369.0
39,Finisterra,200405,2004,5,0.0,0.0,0.0
40,Fonsagrada - C.P.,200405,2004,5,0.0,0.0,0.0
41,Francia - C.F.,200405,2004,5,0.0,0.0,0.0
42,Gijón,200405,2004,5,0.0,0.0,0.0
43,Gudiña,200405,2004,5,0.0,0.0,0.0
44,Laza,200405,2004,5,0.0,0.0,0.0
45,Logroño,200405,2004,5,0.0,3369.0,3369.0
46,Lourdes,200405,2004,5,0.0,0.0,0.0
47,Madrid - C.F.,200405,2004,5,0.0,0.0,0.0
48,Madrid - V.P.,200405,2004,5,0.0,0.0,0.0
49,Mérida,200405,2004,5,0.0,0.0,0.0
50,Mondoñedo,200405,2004,5,0.0,0.0,0.0
51,Monforte de Lemos,200405,2004,5,0.0,0.0,0.0
